filename,seq
000195.jpg, a close up of a person holding a tennis racquet 

000005.jpg, a man wearing a suit and tie is holding a white shirt
000400.png, a white bird sitting on top of a tree branch 

000381.png, a cat sitting on top of a book shelf 

000369.jpg, a man wearing a suit and tie is holding a white shirt
000555.jpg, a man wearing a suit and tie is standing in front of
000099.jpeg, a man is holding a tennis racket and a tennis racket
000322.jpg, a man is holding a tennis racket and a tennis racket
000453.jpg, a man is standing in the grass with a frisbee 

000460.jpg, a close up of a person holding a tennis racquet 

000240.jpg, a man is riding a skateboard on a ramp 

000221.jpg, a man wearing a suit and tie is standing in front of
000503.jpg, a giraffe standing next to a tree in a field 

000163.jpg, a man is sitting on a bench with a dog 

000344.jpg, a man is standing on a tennis court holding a racquet
000110.jpg, a man is standing next to a woman holding a umbrella
000043.jpg, a man is holding a banana in his hand 

000268.jpg, a man is holding a cell phone in his hands 

000336.jpg, a man is holding a pair of scissors in his hand 

000286.jpg, a man is standing on a field with a frisbee 

000311.png, a man is holding a tennis racquet on a tennis court
000349.jpg, a man wearing a suit and tie is standing in front of
000089.jpg, a man is riding a skateboard on a ramp 

000002.jpg, a man wearing a suit and tie is holding a white shirt
000054.gif, a man wearing a suit and tie is standing in front of
000512.jpg, a bird sitting on top of a piece of luggage 

000310.jpg, a man is holding a tennis racket and a tennis racket
000401.jpg, a man standing in front of a tv with a cat 

000532.jpg, a man is standing on a tennis court holding a racquet
000539.jpg, a white bird sitting on top of a tree branch 

000438.png, a large jetliner sitting on top of a runway 

000288.jpg, a man is holding a tennis racket and a dog 

000010.jpg, a man is holding a tennis racket and a tennis racket
000569.jpg, a close up of a piece of cake on a table 

000573.jpg, a man is holding a tennis racquet on a tennis court
000041.jpg, a man wearing a suit and tie is standing in front of
000233.png, a man is standing on a bench with a dog 

000316.png, a man is holding a tennis racket and a dog 

000006.png, a man wearing a suit and tie is holding a white shirt
000328.jpg, a man is standing on a tennis court holding a racquet
000007.jpg, a man wearing a suit and tie is standing in front of
000208.jpg, a man wearing a suit and tie is standing in front of
000040.jpg, a man is standing on a tennis court holding a racquet
000506.jpg, a man wearing a suit and tie is holding a white shirt
000501.png, a man wearing a suit and tie is standing in front of
